SampleID,Otu8,Otu7,Otu11,Otu4,Otu1,Otu2,Otu62,Otu10,Otu23,Otu141,Otu6,Otu85,Otu14,Otu42,Otu50,Otu18,Otu8968,Otu81,Otu75,Otu31,Otu2756,Otu13,Otu58,Otu12,Otu22,Otu83,Otu4114,Otu93,Otu7347,Otu38,Otu39,Otu21,Otu57,Otu326,Otu265,Otu5288,Otu4031,Otu559,Otu25,Otu7065,Otu3813,Otu7187,Otu119,Otu5669,Otu3152,Otu19,Otu28,Otu27,Otu2566,Otu73,Otu4548,Otu29,Otu295,Otu112,Otu8121,Otu5358,Otu4290,Otu69,Otu6945,Otu9070,Otu6886,Otu6714,Otu52,Otu109,Otu33,Otu2735,Otu120,Otu3754,Otu67,Otu89,Otu5277,Otu6950,Otu144,Otu9280,Otu32,Otu6513,Otu80,Otu2871,Otu17,Otu1145,Otu8285,Otu113,Otu778,Otu4353,Otu68,Otu7981,Otu49,Otu209,Otu7151,Otu1447,Otu6944,Otu65,Otu9575,Otu2636,Otu2814,Otu74,Otu5458,Otu34,Otu4307,Otu195,Otu9129,Otu46,Otu2637,Otu16,Otu5694,Otu454,Otu189,Otu36,Otu419,Otu279,Otu3705,Otu63,Otu6143,Otu950,Otu114,Otu6091,Otu48,Otu2780,Otu8065,Otu7932,Otu4862,Otu125,Otu2738,Otu7106,Otu86,Otu6281,Otu2792,Otu151,Otu2827,Otu6793,Otu614,Otu2913,Otu70,Otu3611,Otu6603,Otu196,Otu140,Otu8233,Otu92,Otu9465,Otu9771,Otu3,Otu3744,Otu3496,Otu218,Otu481,Otu310,Otu7341,Otu4365,Otu7123,Otu9300,Otu7214,Otu97,Otu7808,Otu6321,Otu5862,Otu208,Otu775,Otu15,Otu427,Otu4544,Otu20,Otu45,Otu856,Otu105,Otu296,Otu2286,Otu2638,Otu197,Otu707,Otu44,Otu4208,Otu1682,Otu2876,Otu4658,Otu4735,Otu6742,Otu3273,Otu8306,Otu470,Otu235,Otu250,Otu6734,Otu3069,Otu1579,Otu30,Otu5,Otu6326,Otu185,Otu9593,Otu5116,Otu2765,Otu4273,Otu111,Otu230,Otu4336,Otu7748,Otu217,Otu1349,Otu4189,Otu289,Otu7183,Otu43,Otu131,Otu72,Otu4800,Otu750,Otu570,Otu4931,Otu71,Otu4901,Otu200,Otu157,Otu4267,Otu53,Otu6948,Otu24,Otu99,Otu299,Otu94,Otu7148,Otu1735,Otu118,Otu64,Otu3025,Otu9,Otu214,Otu727,Otu382,Otu6647,Otu6271,Otu90,Otu763,Otu257,Otu249,Otu400,Otu273,Otu4178,Otu192,Otu1697,Otu121,Otu35,Otu7690,Otu5140,Otu604,Otu345,Otu4550,Otu425,Otu378,Otu1336,Otu106,Otu2820,Otu4843,Otu2208,Otu453,Otu188,Otu77,Otu531,Otu4709,Otu391,Otu1176,Otu737,Otu3561,Otu148,Otu166,Otu821,Otu988,Otu2974,Otu747,Otu9564,Otu3057,Otu4078,Otu4821,Otu219,Otu3895,Otu7695,Otu340,Otu7975,Otu811,Otu5725,Otu5137,Otu3313,Otu256,Otu51,Otu854,Otu5118,Otu215,Otu165,Otu3055,Otu274,Otu6160,Otu4316,Otu463,Otu8148,Otu2494,Otu1719,Otu3945,Otu8953,Otu4344,Otu262,Otu1150,Otu5860,Otu4818,Otu517,Otu819
C171,0,1750,2,1307,482,6065,0,0,80,110,5995,0,11,0,0,1,323,0,0,3,9,152,0,6,36,48,2,15,103,0,1,0,0,0,0,1,68,0,11,0,1,7,0,2,0,0,69,0,0,75,0,0,7,31,0,12,5,0,0,1,1,0,402,0,0,0,0,0,2,0,5,7,0,5,0,11,11,1,60,0,0,2,4,1,23,0,3,17,0,7,9,0,10,0,0,2,0,327,9,0,0,0,4,0,2,0,0,0,0,0,2,0,1,0,32,1,0,506,0,6,0,0,0,0,0,2,0,30,5,1,0,1,0,1,0,0,0,4,7,2,0,25,0,0,0,0,0,3,2,1,3,1,0,2,1,11,0,0,2,0,0,0,0,3,0,0,0,0,0,0,41,0,0,0,0,3,9,10,2,0,0,0,1,0,0,54,0,15,0,0,4,0,0,1,0,0,2,0,0,0,0,1,0,2,0,1,0,0,6,54,0,0,1,1,0,3,4,0,21,0,0,50,0,0,0,15180,0,0,5,1,2,118,0,0,0,1,0,20,1,2,0,0,45,0,0,0,3,0,0,1,90,0,546,0,0,1,153,0,0,0,1,2,1,0,82,0,0,11,0,37,49,31,0,32,44,36,94,10,10,10,0,1,0,0,14,0,1,0,8,41,1,0,112,0,0,6,45,5,4,0,0,0,0,0,0
C175,1,4087,2,1190,84,7233,0,0,97,113,5521,0,7,0,1,0,399,0,0,18,20,119,0,6,25,62,8,13,117,0,0,1,0,0,0,1,121,0,175,0,1,5,0,0,0,0,100,0,0,66,0,1,12,43,1,15,14,0,4,0,0,0,446,0,1,0,0,0,10,0,0,21,0,1,0,22,19,3,60,0,6,7,16,3,18,0,11,28,0,27,6,0,12,0,0,0,0,784,17,0,1,1,3,0,0,0,0,1,0,0,2,0,3,0,72,4,0,732,0,8,0,0,0,3,0,7,0,56,1,0,0,2,0,0,0,0,0,0,3,8,0,10,4,0,0,0,0,12,0,3,1,5,0,3,2,5,0,0,1,2,0,0,0,2,2,0,0,0,2,1,59,0,0,0,0,2,8,5,1,0,0,0,2,2,0,0,0,18,0,0,8,0,1,1,0,5,0,0,0,0,0,1,0,5,0,2,0,0,5,46,0,1,1,2,0,2,1,0,19,0,0,73,0,0,0,10634,0,3,2,1,5,153,0,0,0,1,0,46,1,3,0,0,26,1,0,0,10,2,0,1,148,0,822,0,0,3,158,0,1,0,1,9,1,1,94,1,0,18,0,41,32,38,0,77,38,23,84,14,14,9,0,0,0,1,0,0,0,0,15,295,4,0,95,2,0,11,90,9,5,0,0,0,0,0,0
C218,18,5082,41,1990,199,1575,0,0,182,44,4657,0,5,2,2,8,130,0,3,33,25,314,0,7,15,253,6,8,113,1,0,6,0,0,0,0,97,1,61,0,3,5,0,0,0,7,26,0,2,51,0,3,3,87,0,9,7,0,7,0,0,0,193,0,0,0,3,0,214,0,0,14,0,3,10,13,4,2,15,1,5,24,22,0,29,0,1,7,1,25,5,397,26,0,0,0,1,336,13,0,2,0,6,0,2,0,0,5,0,0,2,0,1,1,19,1,3,100,0,5,0,2,1,6,0,12,0,11,4,0,0,1,0,0,0,0,0,1,75,9,0,28,0,0,0,0,0,2,0,2,4,3,0,2,2,2,0,0,18,7,0,0,0,0,2,0,0,1,0,0,8,0,0,0,1,2,0,3,1,0,0,0,3,0,0,2,5,1,0,0,11,5,10,3,18,2,0,0,0,0,0,2,0,2,0,7,0,1,10,37,0,0,141,5,0,3,1,6,16,0,0,71,2,0,0,12831,0,0,3,0,0,205,1,0,0,0,0,64,48,7,0,2069,4,7,3,0,0,6,0,1,26,1,164,0,0,64,2137,0,2,0,0,0,1,0,126,0,3,4,0,7,18,25,0,5,24,23,21,20,1,7,0,3,0,356,0,0,47,0,1,22,1,0,8,6,0,2,20,8,3,0,0,0,0,0,0
C172,1,2763,19,1188,3781,1208,0,2,101,4,5806,0,1,0,0,10,424,0,11,26,11,163,1,7,6,53,6,0,53,0,0,0,0,0,0,1,52,0,4,0,1,3,0,0,0,5,11,0,2,25,0,1,0,55,3,6,3,0,6,0,0,0,80,0,1,0,2,0,305,0,1,3,0,5,4,11,1,3,4,0,5,16,9,0,11,0,0,4,1,1,9,165,10,0,0,1,0,167,7,0,0,0,3,1,0,0,0,0,0,0,3,0,2,0,11,1,7,32,0,1,0,9,0,0,0,1,0,21,1,0,0,1,0,0,0,0,0,2,71,5,0,306,0,0,0,0,0,1,0,1,0,2,0,1,1,3,0,0,278,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,2,7,0,0,0,0,1,0,0,2,0,0,0,0,13,130,2,6,9,0,0,0,0,0,0,1,0,1,0,2,0,1,7,16,0,0,60,3,0,0,2,0,4,0,0,35,0,0,0,11976,0,0,0,0,1,145,1,0,0,0,0,74,23,2,0,4339,0,0,1,0,0,3,1,4,2,3,74,1,0,21,668,0,0,0,3,0,1,1,48,0,2,6,0,8,111,11,0,2,34,26,4,19,0,8,1,2,0,128,16,0,48,0,1,8,0,1,4,1,0,0,4,1,2,0,0,0,0,0,0
C115,7,3972,96,4613,4497,1658,9,517,73,34,8413,1,4,0,0,1184,1280,26,79,39,12,159,55,536,30,64,7,5,84,113,0,2,0,4,9,1,85,2,64,0,0,4,1,1,0,52,7,0,0,18,0,0,0,68,0,7,6,11,4,4,0,0,520,4,0,0,68,0,260,117,3,10,0,9,42,21,3,2,8,2,2,24,7,0,21,0,2,121,8,22,7,132,6,1,0,9,0,64,10,5,0,21,9,2,0,0,0,0,5,3,3,0,1,0,10,1,36,19,0,9,0,7,0,0,1,4,0,19,3,0,0,1,0,2,0,4,3,2,46,3,0,153,1,0,0,0,4,1,1,9,0,2,0,2,8,4,5,0,405,3,0,0,0,5,2,16,2,0,1,0,1,0,0,0,0,4,1,8,0,0,0,11,1,2,0,0,0,1,0,1,10,181,5,1,2,0,0,20,0,0,0,0,0,1,0,1,0,21,8,9,0,6,28,0,1,0,2,0,8,1,0,41,0,0,0,2794,6,0,0,0,2,260,2,0,0,16,0,44,6,0,0,1301,0,4,4,0,0,2,0,4,6,6,18,0,4,22,149,0,0,0,0,0,0,0,54,0,2,0,0,0,24,13,0,0,9,6,6,1,0,2,0,1,1,115,0,0,12,0,3,6,1,1,6,2,1,1,0,0,0,0,0,0,0,0,0
C117,1,5105,97,7507,4519,898,2,2561,323,234,8387,0,6,0,2,122,172,23,9,33,16,100,9,521,1165,5,7,2,93,31,0,1,0,8,19,0,110,0,7,0,0,10,2,1,0,437,6,0,1,18,0,0,1,25,1,6,11,1,4,2,0,1,359,0,0,0,14,0,89,13,3,11,0,16,3,17,2,2,9,1,7,27,18,0,12,0,2,58,11,7,9,22,18,2,0,1,0,27,17,1,1,2,8,1,1,0,0,0,0,0,6,0,0,0,16,3,10,6,2,17,0,0,1,8,0,13,0,25,3,0,0,1,0,1,0,0,0,1,46,9,1,49,1,0,0,0,0,0,0,3,0,1,0,0,15,1,0,0,110,3,0,0,0,1,1,3,1,0,0,0,0,4,0,0,1,1,0,5,0,0,0,0,0,20,0,10,0,0,0,0,13,52,10,0,9,0,0,4,0,5,0,2,0,0,0,4,0,17,13,1,0,0,7,1,0,3,0,0,5,0,0,30,0,0,0,563,0,0,5,0,0,150,1,0,0,12,2,47,3,2,0,358,0,3,1,0,0,2,0,0,3,2,3,0,2,25,42,0,1,0,1,0,2,0,20,0,4,0,0,1,4,0,0,0,0,0,2,0,0,1,0,2,295,23,0,0,6,0,0,0,0,4,4,0,0,0,3,1,0,0,0,0,0,0,0
C220,0,4704,893,1574,45,9858,3,959,95,2652,1564,2,1414,1,6,109,170,2,2,2,5,13,0,751,830,0,8,0,0,2,4830,4,23,0,1,0,77,16,2,0,0,0,6,32,0,2187,5,5,0,1,0,3,0,5,0,4,6,0,1,1,13,0,38,1,0,0,0,0,34,10,41,9,1,3,0,9,0,0,0,0,3,63,4,5,3,0,0,3,1,3,0,3,12,0,1,1,0,100,9,3,2,2,4,1226,0,0,0,1,1,1,1,0,0,7,70,0,6,5,1,5,0,0,3,5,2,4,0,91,0,0,0,1,0,12,0,0,3,1,24,4,0,17,0,2,0,0,0,8,0,7,1,1,0,0,5,1,0,0,16,1,0,0,0,0,33,0,0,17,0,0,6,0,1,0,0,0,5,1,1,0,0,0,3,2,0,12,3,0,1,0,3,6,3,1,4,0,0,3,0,2,0,0,0,0,0,0,102,0,7,0,0,0,0,34,6,1,0,1,5,2,11,11,0,127,13,63,17,0,26,0,3,140,3,0,2,1,2,51,0,0,0,5,0,2,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,9,0,0,0,3,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0
C219,8,6174,69,9254,3019,1074,0,1182,637,359,8006,2,25,1,6,148,54,21,9,13,18,139,4,409,1413,1,10,0,78,20,1,13,0,2,17,5,126,0,5,0,1,8,23,2,0,677,1,6,1,25,0,3,0,20,0,28,6,5,11,6,1,0,153,0,1,0,8,0,94,10,12,19,1,13,1,31,0,4,3,0,6,19,12,1,10,0,1,31,13,4,8,23,19,0,0,0,5,47,22,0,1,1,11,1,0,0,0,1,0,1,6,1,1,0,14,5,14,4,1,24,0,0,0,6,3,19,0,37,0,0,0,1,0,0,0,1,0,3,180,12,1,20,0,0,0,0,0,0,0,9,3,3,0,4,11,0,0,0,75,6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,3,12,1,1,4,0,0,0,22,34,2,0,7,0,0,1,0,1,0,1,0,0,0,1,0,12,8,3,0,0,19,0,3,0,0,1,17,0,0,28,0,0,0,465,0,0,4,0,0,229,0,0,0,3,1,25,1,5,0,257,0,3,0,0,0,4,0,2,2,0,5,0,1,19,57,0,2,0,8,0,3,1,7,0,1,0,0,0,7,4,0,0,1,0,0,0,0,0,0,4,47,11,0,0,4,0,0,1,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0
C188,0,7936,1604,3787,326,771,0,1892,185,131,7307,0,1494,0,0,49,22,5,2,8,6,108,6,209,2702,1,4,1,15,10,0,1,0,0,2,0,59,3,1,0,1,3,4,1,0,3971,2,1,0,4,0,1,0,27,2,7,3,0,4,2,0,0,131,0,0,0,1,0,42,1,2,8,0,5,0,17,0,2,1,0,10,66,8,0,2,0,0,14,6,7,4,12,15,0,0,1,1,67,8,1,0,0,10,891,0,0,0,1,0,0,6,0,1,1,148,0,8,1,0,8,0,0,1,0,0,15,0,271,2,0,1,1,0,1,0,0,0,3,22,10,0,25,1,4,0,0,0,0,0,3,0,5,0,8,7,0,0,0,30,1,0,0,0,2,2,0,0,44,0,4,0,0,20,0,0,0,1,9,0,0,0,0,4,27,0,11,1,0,0,0,11,16,5,0,22,0,0,0,0,3,0,2,0,3,0,4,0,1,3,1,0,1,6,0,0,7,0,0,0,0,13,7,0,10,0,117,0,0,126,0,0,113,5,0,0,2,2,95,2,1,0,20,0,9,0,0,0,6,4,1,1,0,1,0,0,7,89,0,0,0,1,0,7,0,1,0,14,0,0,0,2,3,0,0,0,2,0,0,0,1,0,0,37,7,1,0,0,0,0,0,0,16,0,13,0,0,0,1,0,0,0,0,0,0,0
C189,0,7218,632,5073,477,952,0,1606,444,267,6666,0,710,0,1,150,19,3,1,17,10,63,3,299,3747,0,5,0,23,9,6,0,0,1,6,0,44,2,5,0,1,8,4,4,0,3808,11,0,0,9,0,0,0,33,3,6,3,6,2,3,1,0,171,0,0,0,2,0,83,3,4,3,0,8,0,16,1,0,0,0,7,164,4,0,5,0,0,9,7,13,3,16,20,0,0,1,0,91,9,0,0,4,2,466,2,0,0,0,0,0,2,0,5,0,96,1,33,3,0,11,0,0,3,0,0,10,0,172,2,0,0,0,0,2,0,0,0,3,29,14,1,23,0,1,0,0,0,0,0,3,0,2,0,2,9,1,2,0,64,6,0,0,0,0,0,0,0,12,0,4,0,0,5,0,0,0,0,5,0,0,0,1,2,20,0,10,1,0,0,0,8,33,1,4,6,2,0,0,0,24,0,0,0,3,0,1,0,13,11,5,0,0,3,0,0,0,1,0,4,0,2,21,0,1,0,497,0,0,64,0,0,358,5,0,0,5,4,175,4,2,0,45,1,9,1,0,1,11,0,6,2,1,1,1,0,5,62,0,1,0,3,0,3,1,0,0,9,0,0,1,4,6,0,0,1,2,0,0,0,0,0,6,32,25,0,0,1,0,0,1,0,20,0,7,0,0,0,0,0,0,0,0,0,0,0
C97,0,2879,339,397,14,9551,611,3032,14,599,233,13,1562,546,40,262,401,12,0,3,1,2,7,7380,102,0,11,0,2,21,8,32,312,0,0,0,88,17,0,0,0,0,3,7,0,1156,21,29,0,0,0,176,0,0,1,14,4,0,10,0,0,0,43,55,0,0,0,0,9,32,11,10,20,2,10,16,0,1,18,0,1,32,4,0,5,0,0,0,0,532,0,0,7,0,0,1,0,252,26,11,0,28,0,1023,0,3,0,1,16,0,0,0,2,19,36,2,432,444,2,0,0,33,1,7,6,3,4,25,0,0,0,2,2,2,0,1,2,0,2,8,0,4,1,0,0,0,0,19,0,8,1,5,0,1,1,12,0,0,5,2,0,0,3,1,18,0,3,4,7,0,1167,0,21,0,0,0,9,0,0,0,148,0,0,19,0,26,0,0,7,1,0,3,3,2,0,22,3,3,0,0,7,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,2,0,2,157,21,5,0,502,0,16,12,0,6,4,1,18,4,2,12,1,2,21,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,10,0,0,3,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0
C98,1,2907,364,459,11,12107,503,2596,9,745,200,10,1428,358,23,217,523,14,0,1,4,2,4,6974,78,0,8,0,2,23,6,15,174,0,0,0,89,14,0,0,0,0,2,10,0,884,15,13,0,4,0,156,0,7,1,21,11,1,7,0,5,0,25,40,0,0,1,0,2,28,20,16,21,0,3,11,0,1,13,0,2,25,3,4,0,0,1,0,2,488,0,1,11,0,0,1,0,168,19,14,1,21,1,698,1,1,0,0,11,0,0,0,0,13,25,0,323,399,2,3,0,18,0,2,2,8,0,22,0,0,0,2,0,1,0,0,1,0,8,3,0,2,3,2,0,0,0,13,0,1,2,5,0,0,5,10,0,0,1,0,0,0,3,0,15,0,1,0,7,0,1058,0,20,0,2,2,10,0,1,0,101,0,1,13,0,8,3,0,7,2,0,0,2,0,0,23,7,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,137,17,5,0,405,0,16,10,1,6,2,6,4,4,0,6,3,3,17,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,8,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,31,0,0,0,0,0
C99,1,2868,361,461,23,11809,534,2750,10,550,257,15,1381,357,30,171,460,11,0,1,4,6,4,6858,105,0,8,0,1,16,3,32,247,0,0,2,92,12,1,0,0,1,0,3,0,927,16,18,0,0,0,184,0,2,1,10,11,0,3,0,3,0,20,55,0,0,0,0,3,12,16,14,18,3,4,11,0,2,17,0,2,37,4,1,1,0,0,0,1,539,0,0,9,0,0,2,0,193,11,7,1,22,0,776,0,1,0,0,12,0,5,0,4,28,20,2,442,410,1,3,0,21,2,2,6,6,2,34,1,0,0,1,0,4,0,0,1,0,5,4,0,1,2,4,0,0,0,17,0,7,0,4,0,0,3,8,0,0,3,0,0,0,1,0,17,0,4,3,2,0,1158,0,14,0,0,5,9,1,0,1,122,0,0,6,0,24,0,0,10,0,0,2,0,2,0,15,3,5,0,0,2,0,0,0,0,1,0,0,11,0,1,0,0,0,0,0,0,0,1,127,10,14,0,386,0,20,4,8,2,3,2,8,6,1,2,0,0,9,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,5,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19,0,0,0,0,0
C100,8179,5534,2114,6826,4081,2168,44,1303,695,511,569,34,415,366,99,271,376,62,44,149,55,34,52,162,93,77,4,24,55,19,14,178,28,11,67,1,79,29,9,15,3,9,6,3,10,12,3,9,2,14,1,5,3,1,4,6,3,0,3,2,2,11,8,9,37,11,10,16,11,2,15,17,3,11,42,11,6,9,9,1,10,8,39,0,10,10,1,24,5,2,1,17,19,5,1,4,1,14,5,2,1,10,0,2,1,1,2,1,1,2,2,5,6,1,5,4,1,5,2,4,6,7,4,1,1,7,3,5,1,0,2,5,1,1,5,1,2,2,4,10,4,3,1,1,3,1,3,1,2,6,1,3,0,1,15,3,0,2,1,1,5,0,0,0,0,0,1,0,1,1,1,2,1,1,0,0,0,2,1,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C101,8809,5354,1737,5421,4558,1777,41,1785,786,422,699,76,492,536,144,266,269,93,95,223,40,48,66,158,102,97,5,27,49,37,29,281,47,13,53,0,71,14,4,13,2,9,10,5,8,10,0,21,5,9,2,1,0,1,0,7,6,4,8,0,0,18,16,8,45,4,12,15,12,7,9,9,2,5,62,7,0,12,23,3,2,4,29,0,21,10,5,22,16,6,3,12,8,5,2,4,2,17,4,3,0,3,0,11,0,2,2,1,1,4,2,5,8,0,4,0,0,9,0,18,18,10,2,0,1,9,3,4,0,1,6,0,1,3,4,1,5,0,4,12,5,2,2,0,8,0,0,2,1,9,3,3,0,2,11,3,3,4,1,0,7,0,3,0,3,2,2,0,4,0,0,0,1,3,1,0,0,0,2,2,2,3,3,5,1,3,1,1,0,0,2,2,0,1,3,1,2,2,0,0,0,0,0,1,0,1,1,0,0,0,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C102,6841,5497,1992,6941,4606,2142,40,1546,812,497,718,61,472,423,93,279,335,66,91,186,45,33,35,190,119,83,11,19,57,31,25,205,37,13,98,0,46,13,10,8,2,8,13,4,8,7,0,13,9,16,2,0,1,1,0,9,9,5,4,1,1,16,14,12,55,7,17,12,21,13,18,6,2,4,56,9,0,10,28,5,12,5,42,0,13,4,5,24,11,4,0,12,7,2,1,6,1,12,9,1,3,4,1,10,0,0,3,0,0,2,9,4,7,0,5,0,0,6,0,12,11,3,2,4,0,4,5,3,1,0,10,1,0,3,7,2,2,0,4,11,2,0,2,1,12,3,0,6,0,5,0,1,0,4,22,1,1,2,0,0,5,0,1,0,1,4,2,0,5,1,4,2,0,0,2,0,0,2,1,2,2,3,2,2,2,1,0,0,0,0,1,0,0,0,0,0,4,0,0,2,0,1,0,1,3,0,1,0,2,2,0,1,0,0,0,0,1,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
